cod_radio,hogares_total,hogares_nbi,pct_nbi
020210910,362,50,13.81
020211001,435,10,2.3
020211002,379,58,15.3
020211003,245,18,7.35
020211004,350,7,2.0
020211005,292,22,7.53
020211006,361,94,26.04
020211007,362,36,9.94
020211008,375,67,17.87
020211009,71,4,5.63
020211101,369,13,3.52
020211102,445,82,18.43
020211103,344,72,20.93
020211104,414,17,4.11
020211105,344,41,11.92
020211106,553,139,25.14
020211107,366,56,15.3
020211108,411,35,8.52
020211201,417,3,0.72
020211202,544,88,16.18
020211203,316,47,14.87
020211204,270,74,27.41
020211205,580,20,3.45
020211206,151,51,33.77
020211207,500,43,8.6
020211208,414,80,19.32
020211209,250,16,6.4
020211210,365,79,21.64
020211301,375,58,15.47
020211302,389,111,28.53
020211303,449,51,11.36
020211304,283,75,26.5
020211305,364,29,7.97
020211306,358,15,4.19
020211307,254,10,3.94
020211308,293,45,15.36
020211309,382,23,6.02
020211310,253,47,18.58
020211311,313,5,1.6
020211401,529,109,20.6
020211402,505,74,14.65
020211403,506,7,1.38
020211404,369,35,9.49
020211405,376,76,20.21
020211406,490,3,0.61
020211407,281,7,2.49
020211408,419,66,15.75
020211409,357,52,14.57
020211501,331,17,5.14
020211502,446,11,2.47
020211503,289,24,8.3
020211504,327,12,3.67
020211505,348,56,16.09
020211506,401,71,17.71
020211507,582,16,2.75
020211508,637,7,1.1
020211509,160,19,11.88
020211601,358,20,5.59
020211602,421,18,4.28
020211603,397,61,15.37
020211604,229,8,3.49
020211605,243,20,8.23
020211606,305,33,10.82
020211607,397,127,31.99
020211608,251,30,11.95
020211609,594,94,15.82
020211701,258,27,10.47
020211702,340,35,10.29
020211703,284,47,16.55
020211704,307,114,37.13
020211705,325,70,21.54
020211706,343,27,7.87
020211707,364,23,6.32
020211708,368,142,38.59
020211709,400,100,25.0
020211801,326,110,33.74
020211802,354,20,5.65
020211803,264,17,6.44
020211804,465,18,3.87
020211805,228,9,3.95
020211806,309,49,15.86
020211807,325,33,10.15
020211808,321,9,2.8
020211809,479,52,10.86
020211810,286,9,3.15
020211811,334,10,2.99
020211901,583,24,4.12
020211902,197,17,8.63
020211903,344,28,8.14
020211904,341,55,16.13
020211905,400,92,23.0
020211906,384,22,5.73
020211907,473,85,17.97
020211908,555,80,14.41
020211909,376,17,4.52
020211910,266,43,16.17
020212001,411,122,29.68
020212002,435,48,11.03
020212003,343,21,6.12
020212004,317,5,1.58
020212005,287,46,16.03
020212006,245,53,21.63
020212007,468,14,2.99
020212008,436,84,19.27
020212009,525,61,11.62
020212010,332,16,4.82
020212011,351,4,1.14
020212101,420,37,8.81
020212102,441,16,3.63
020212103,364,11,3.02
020212104,422,49,11.61
020212105,201,51,25.37
020212106,383,70,18.28
020212107,259,39,15.06
020212108,375,39,10.4
020212109,235,18,7.66
020212110,428,29,6.78
020212201,473,92,19.45
020212202,309,43,13.92
020212203,180,34,18.89
020212204,311,30,9.65
020212205,473,38,8.03
020212206,250,12,4.8
020212207,397,36,9.07
020212208,421,28,6.65
020212209,403,35,8.68
020212301,478,43,9.0
020212302,343,15,4.37
020212303,411,44,10.71
020212304,197,23,11.68
020212305,332,8,2.41
020212306,299,34,11.37
020212307,295,28,9.49
020212308,365,24,6.58
020212309,357,41,11.48
020212310,335,14,4.18
020212401,347,14,4.03
020212402,481,58,12.06
020212403,417,14,3.36
020212404,409,57,13.94
020212405,299,6,2.01
020212406,458,53,11.57
020212407,430,20,4.65
020212408,389,31,7.97
020212409,220,12,5.45
020212501,213,32,15.02
020212502,320,47,14.69
020212503,204,63,30.88
020212504,375,59,15.73
020212505,650,12,1.85
020212506,445,75,16.85
020212507,312,93,29.81
020212508,769,73,9.49
020212509,389,78,20.05
020212510,310,22,7.1
020212601,403,62,15.38
020212602,424,47,11.08
020212603,372,81,21.77
020212604,329,40,12.16
020212605,403,56,13.9
020212606,224,4,1.79
020212607,339,14,4.13
020212608,276,6,2.17
020212609,273,36,13.19
020212701,462,48,10.39
020212702,500,43,8.6
020212703,452,49,10.84
020212704,411,19,4.62
020212705,304,4,1.32
020212706,371,57,15.36
020212707,343,11,3.21
020280101,292,17,5.82
020280102,298,55,18.46
020280103,211,15,7.11
020280104,262,36,13.74
020280105,232,33,14.22
020280106,130,7,5.38
020280107,175,10,5.71
020280108,250,29,11.6
020280109,278,24,8.63
020280110,195,22,11.28
020280111,208,24,11.54
020280112,218,6,2.75
020280113,148,3,2.03
020280114,178,11,6.18
020280201,331,42,12.69
020280202,381,19,4.99
020280203,495,62,12.53
020280204,295,15,5.08
020280205,241,36,14.94
020280206,291,17,5.84
020280207,436,40,9.17
020280208,248,18,7.26
020280209,278,30,10.79
020280210,407,40,9.83
020280301,323,12,3.72
020280302,318,23,7.23
020280303,212,7,3.3
020280304,314,18,5.73
020280305,384,7,1.82
020280306,300,7,2.33
020280307,271,9,3.32
020280308,314,16,5.1
020280309,183,9,4.92
020280310,338,13,3.85
020280311,329,9,2.74
020280312,341,13,3.81
020280313,418,22,5.26
020280401,302,10,3.31
020280402,266,5,1.88
020280403,351,6,1.71
020280404,398,13,3.27
020280405,370,15,4.05
020280406,497,7,1.41
020280407,385,17,4.42
020280408,404,22,5.45
020280409,242,23,9.5
020280410,303,16,5.28
020280411,454,24,5.29
020280501,423,22,5.2
020280502,290,45,15.52
020280503,442,16,3.62
020280504,297,25,8.42
020280505,235,10,4.26
020280506,389,5,1.29
020280507,303,16,5.28
020280508,219,11,5.02
020280509,372,16,4.3
020280510,391,38,9.72
020280511,378,28,7.41
020280512,317,24,7.57
020280601,475,21,4.42
020280602,324,7,2.16
020280603,417,35,8.39
020280604,422,18,4.27
020280605,290,16,5.52
020280606,424,4,0.94
020280607,351,16,4.56
020280608,334,18,5.39
020280609,291,9,3.09
020280610,239,6,2.51
020280611,257,11,4.28
020280612,264,8,3.03
020280701,485,17,3.51
020280702,343,0,0.0
020280703,368,74,20.11
020280704,887,17,1.92
020280705,341,48,14.08
020280706,400,32,8.0
020280707,340,13,3.82
020280708,357,1,0.28
020280709,385,35,9.09
020280710,339,7,2.06
020280711,285,31,10.88
020280712,320,62,19.38
020280801,342,9,2.63
020280802,442,43,9.73
020280803,346,26,7.51
020280804,310,28,9.03
020280805,314,7,2.23
020280806,329,24,7.29
020280807,199,2,1.01
020280808,233,16,6.87
020280809,379,30,7.92
020280810,264,10,3.79
020280811,359,35,9.75
020280812,640,72,11.25
020280901,413,49,11.86
020280902,347,22,6.34
020280903,275,21,7.64
020280904,228,56,24.56
020280905,267,16,5.99
020280906,273,8,2.93
020280907,565,37,6.55
020281001,278,30,10.79
020281002,278,79,28.42
020281003,147,23,15.65
020281004,218,30,13.76
020281005,407,86,21.13
020281006,362,74,20.44
020281007,404,73,18.07
020281008,499,101,20.24
020281009,201,22,10.95
020281101,314,14,4.46
020281102,272,4,1.47
020281103,311,8,2.57
020281104,333,16,4.8
020281105,300,22,7.33
020281106,381,25,6.56
020281107,625,66,10.56
020281108,307,5,1.63
020281109,92,4,4.35
020281201,252,48,19.05
020281202,279,65,23.3
020281203,300,41,13.67
020281204,299,7,2.34
020281205,262,19,7.25
020281206,389,51,13.11
020281207,334,35,10.48
020281208,227,24,10.57
020281209,364,2,0.55
020281210,327,18,5.5
020281211,265,9,3.4
020281212,359,1,0.28
020281301,463,5,1.08
020281302,323,25,7.74
020281303,300,24,8.0
020281304,249,2,0.8
020281305,458,2,0.44
020281306,237,23,9.7
020281307,503,4,0.8
020281308,193,29,15.03
020281309,201,3,1.49
020281310,246,1,0.41
020281311,501,8,1.6
020281401,333,67,20.12
020281402,199,3,1.51
020281403,327,15,4.59
020281404,440,6,1.36
020281405,331,2,0.6
020281406,319,16,5.02
020281407,428,46,10.75
020281408,270,17,6.3
020281409,285,27,9.47
020281501,390,7,1.79
020281502,693,7,1.01
020281503,559,9,1.61
020281504,308,2,0.65
020281505,290,8,2.76
020281506,434,36,8.29
020281507,292,1,0.34
020281508,324,3,0.93
020281509,349,10,2.87
020281510,222,3,1.35
020281601,177,5,2.82
020281602,884,24,2.71
020281603,356,5,1.4
020281604,266,17,6.39
020281605,335,3,0.9
020281606,347,24,6.92
020281607,176,1,0.57
020281608,541,34,6.28
020281609,423,18,4.26
020281610,304,38,12.5
020281701,387,8,2.07
020281702,300,12,4.0
020281703,311,17,5.47
020281704,293,1,0.34
020281705,346,0,0.0
020281706,302,1,0.33
020281707,283,19,6.71
020281708,389,79,20.31
020281709,391,5,1.28
020281710,317,30,9.46
020281801,12,1,8.33
020281901,292,41,14.04
020281902,284,23,8.1
020281903,379,41,10.82
020281904,426,54,12.68
020281905,293,15,5.12
020281906,433,138,31.87
020281907,238,74,31.09
020281908,215,59,27.44
020281909,379,105,27.7
020281910,294,80,27.21
020281911,341,96,28.15
020282001,329,24,7.29
020282002,273,20,7.33
020282003,348,38,10.92
020282004,257,89,34.63
020282005,200,29,14.5
020282006,332,39,11.75
020282007,242,22,9.09
020282008,275,35,12.73
020282009,381,50,13.12
020282010,398,95,23.87
020282011,420,45,10.71
020282012,548,18,3.28
020282101,282,52,18.44
020282102,252,91,36.11
020282103,248,79,31.85
020282104,245,41,16.73
020282105,261,41,15.71
020282106,273,29,10.62
020282107,302,31,10.26
020282108,317,97,30.6
020282109,237,86,36.29
020282110,293,136,46.42
020282111,290,67,23.1
020282112,239,29,12.13
020282113,241,2,0.83
020282201,274,12,4.38
020282202,352,24,6.82
020282203,390,5,1.28
020282204,530,5,0.94
020282205,339,23,6.78
020282206,269,3,1.12
020282207,438,3,0.68
020282208,457,51,11.16
020282209,291,26,8.93
020282210,250,5,2.0
020282211,308,17,5.52
020282212,252,46,18.25
020282301,376,50,13.3
020282302,367,42,11.44
020282303,233,37,15.88
020282304,279,7,2.51
020282305,371,7,1.89
020282306,384,17,4.43
020282307,247,11,4.45
020282308,343,11,3.21
020282309,182,16,8.79
020282310,360,24,6.67
020282311,216,54,25.0
020282312,257,37,14.4
020282401,286,42,14.69
020282402,238,34,14.29
020282403,115,13,11.3
020282404,163,26,15.95
020282405,170,28,16.47
020282406,187,22,11.76
020282407,126,8,6.35
020282408,104,6,5.77
020282409,109,10,9.17
020282501,327,83,25.38
020282502,471,97,20.59
020282503,244,36,14.75
020282504,312,46,14.74
020282505,154,28,18.18
020282506,308,55,17.86
020282507,139,23,16.55
020282508,316,76,24.05
020282509,292,68,23.29
020282510,228,64,28.07
020282511,178,33,18.54
020282512,315,76,24.13
020282601,400,49,12.25
020282602,308,17,5.52
020282603,289,22,7.61
020282701,248,1,0.4
020282702,280,0,0.0
020282703,191,1,0.52
020282704,158,4,2.53
020282705,111,1,0.9
020282706,116,3,2.59
020282707,438,9,2.05
020282801,152,16,10.53
020282802,277,38,13.72
020282803,162,22,13.58
020282804,239,44,18.41
020282805,205,41,20.0
020282806,375,86,22.93
020282807,211,50,23.7
020282808,274,60,21.9
020282809,210,28,13.33
020282810,162,21,12.96
020282811,148,16,10.81
020282901,265,55,20.75
020282902,264,47,17.8
020282903,117,14,11.97
020282904,118,10,8.47
020282905,199,25,12.56
020282906,171,27,15.79
020282907,253,45,17.79
020282908,234,27,11.54
020350101,490,29,5.92
020350102,537,29,5.4
020350103,495,38,7.68
020350104,262,12,4.58
020350105,393,6,1.53
020350106,353,21,5.95
020350107,357,13,3.64
020350108,430,20,4.65
020350109,411,14,3.41
020350110,399,8,2.01
020350111,277,4,1.44
020350112,254,2,0.79
020350201,476,9,1.89
020350202,341,23,6.74
020350203,437,10,2.29
020350204,545,7,1.28
020350205,280,22,7.86
020350206,301,20,6.64
020350207,349,103,29.51
020350208,490,5,1.02
020350209,380,51,13.42
020350210,356,39,10.96
020350211,457,50,10.94
020350301,361,51,14.13
020350302,269,17,6.32
020350303,279,72,25.81
020350304,318,42,13.21
020350305,380,20,5.26
020350306,406,22,5.42
020350307,411,45,10.95
020350308,189,6,3.17
020350309,334,57,17.07
020350310,304,19,6.25
020350311,436,18,4.13
020350312,349,33,9.46
020350313,349,90,25.79
020350401,602,18,2.99
020350402,388,7,1.8
020350403,431,11,2.55
020350404,542,3,0.55
020350405,458,14,3.06
020350406,600,4,0.67
020350407,337,6,1.78
